mesh,mesh_path,noise_frac,k_sources,sources,use_robust,t_coef,rel_L2,rel_Linf,roughness
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,0.05,0.5733739995594964,0.7251646271798653,254.9356331088805
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,0.0809383877820033,0.4996147561078343,0.6724945110965528,324.5950012863127
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,0.13102045233499882,0.41286830073152275,0.6082980313807546,409.3135320315231
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,0.21209168356927224,0.30660089675246827,0.5240567349709526,537.8003918507009
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,0.343327178601354,0.1959292926150752,0.42444335216192136,768.9194983267247
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,0.55576696635475,0.09432413436745564,0.2958591326020789,1090.860606851826
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,0.8996576447849663,0.036000637967106945,0.12696119742775022,1311.7974611917034
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,1.456336786492988,0.022171036101370806,0.04250962877380907,1360.1951994109636
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,2.35747103132732,0.013787112402919343,0.030240690938599362,1368.7240756432443
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,3.8161980903681987,0.009396277114751769,0.023877480270978867,1374.503319150683
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,6.177538417823236,0.010717353146939805,0.025826653832074012,1378.059160447501
stbarth.obj,data/meshes/stbarth.obj,0.0,1,107728,True,10.0,0.01569064755624587,0.03729049813478525,1379.729600006729
