mesh,mesh_path,noise_frac,k_sources,sources,use_robust,t_coef,rel_L2,rel_Linf,roughness
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,0.05,0.1639454991292184,0.265874587922832,2630.6541742506906
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,0.0809383877820033,0.13196097022221107,0.14492018249007887,3029.897554182312
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,0.13102045233499882,0.11272307654666186,0.12578918496084254,3100.7064876751983
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,0.21209168356927224,0.09503534393725428,0.10768445543180935,3151.0145206968964
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,0.343327178601354,0.0789966133549216,0.09193436416094286,3198.5935930159776
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,0.55576696635475,0.06477986283791938,0.07932854981085412,3241.3556410875603
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,0.8996576447849663,0.05235473075618753,0.06921575089968854,3277.7103874705326
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,1.456336786492988,0.04204333366527843,0.06119851648533467,3305.7956006642044
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,2.35747103132732,0.0340731299031352,0.05429328935713314,3325.9773449440036
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,3.8161980903681987,0.028377068678090908,0.04814138176100325,3339.5838921969175
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,6.177538417823236,0.024826096390996144,0.04289054352371784,3347.9024053516705
strigilated_vase.obj,data/meshes/strigilated_vase.obj,0.0,1,29860,True,10.0,0.02318173004332257,0.03841636705229035,3351.8530953133422
