mesh,mesh_path,noise_frac,k_sources,sources,use_robust,t_coef,rel_L2,rel_Linf,roughness
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,0.05,0.15341287278483948,0.1503104755543009,6193.849937231983
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,0.0809383877820033,0.12954531935026464,0.12168201058941312,6325.243507085385
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,0.13102045233499882,0.1071882966096739,0.10843264730601351,6475.63900358088
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,0.21209168356927224,0.08826270707701546,0.09875544842446678,6631.548432404104
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,0.343327178601354,0.07367682788277968,0.09296419705222501,6780.142963752665
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,0.55576696635475,0.06341170196033932,0.08887610464120735,6908.3433191826525
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,0.8996576447849663,0.0567574467155428,0.08599480372036719,7008.783697013243
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,1.456336786492988,0.052702346505871064,0.08411022117806335,7081.411789242878
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,2.35747103132732,0.05032128906136876,0.08293340326981825,7130.991076599322
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,3.8161980903681987,0.04894869498407676,0.08222641164209521,7163.5656090754555
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,6.177538417823236,0.04816525529831398,0.08181392137763974,7184.452620561771
sphere.obj,data/meshes/sphere.obj,0.0,1,2490,True,10.0,0.047722535066756507,0.08157958128239963,7197.644590080585
